id,review
1,This is the best product I have ever bought! Highly recommended.
2,Terrible experience. The package arrived late and the item was broken.
3,It's okay I guess. Nothing special but gets the job done.
4,The pricing is a bit high, but the quality justifies it.
5,Customer service was completely useless and very rude to me.
6,Fast shipping, flawless design, and works exactly as described.
7,I am very disappointed with the delivery delays.
8,Absolutely love it! The app is so seamless and easy to use.
9,The website keeps crashing when I try to checkout. Please fix this bug.
10,Decent value for money. Would probably buy again.
