text,sentiment,aspect
delivery was breathtaking.,Positive,Delivery
"For the cost, this is ok.",Neutral,Pricing
My experience with the agent was vile!,Negative,Customer Service
Shipping was subpar!,Negative,Delivery
"It is too expensive, disgusting value!",Negative,Pricing
Pricing is absolutely disgusting.,Negative,Pricing
The build material is broken.,Negative,Product Quality
"App keeps crashing, standard experience.",Neutral,App/Website
the package arrived horrendous.,Negative,Delivery
"Honestly, the product feels atrocious.",Negative,Product Quality
"It took forever to arrive, exquisite shipping!",Positive,Delivery
"Honestly, the product feels revolting!",Negative,Product Quality
"It is too expensive, splendid value!",Positive,Pricing
The user interface is inferior!,Negative,App/Website
Pricing is absolutely glorious.,Positive,Pricing
the package arrived outstanding.,Positive,Delivery
"honestly, the product feels splendid.",Positive,Product Quality
The website is fair.,Neutral,App/Website
The price is hated.,Negative,Pricing
The support team is unbearable!,Negative,Customer Service
my experience with the agent was lousy.,Negative,Customer Service
The support team is immaculate.,Positive,Customer Service
I found the item to be terrible.,Negative,Product Quality
my experience with the agent was terrible.,Negative,Customer Service
The app is great!,Positive,App/Website
Shipping was appalling!,Negative,Delivery
The price is amazing.,Positive,Pricing
The package arrived inferior!,Negative,Delivery
"they ignored my emails, average support.",Neutral,Customer Service
I found the item to be awesome.,Positive,Product Quality
The build material is cheap!,Negative,Product Quality
Logistics and shipping speed were abysmal!,Negative,Delivery
Navigation is passable.,Neutral,App/Website
Logistics and shipping speed were splendid!,Positive,Delivery
"It took forever to arrive, great shipping!",Positive,Delivery
The user interface is breathtaking!,Positive,App/Website
"It is too expensive, appalling value.",Negative,Pricing
"Honestly, the product feels perfect.",Positive,Product Quality
The support team is worst!,Negative,Customer Service
"They ignored my emails, cheap support!",Negative,Customer Service
My experience with the agent was fine.,Neutral,Customer Service
the price is fair.,Neutral,Pricing
the build material is first-rate.,Positive,Product Quality
The package arrived glorious!,Positive,Delivery
the user interface is pathetic.,Negative,App/Website
quality is unremarkable.,Neutral,Product Quality
the price is acceptable.,Neutral,Pricing
"honestly, the product feels repulsive.",Negative,Product Quality
I found the item to be lousy!,Negative,Product Quality
Navigation is deplorable!,Negative,App/Website
Quality is subpar!,Negative,Product Quality
My experience with the agent was wonderful!,Positive,Customer Service
the website is abysmal.,Negative,App/Website
Pricing is absolutely unremarkable.,Neutral,Pricing
"For the cost, this is atrocious!",Negative,Pricing
The product is superb!,Positive,Product Quality
logistics and shipping speed were undistinguished.,Neutral,Delivery
The support team is revolting.,Negative,Customer Service
I found the item to be amazing.,Positive,Product Quality
value for money is worst.,Negative,Pricing
the support team is disgusting.,Negative,Customer Service
"This product is exactly what I expected, absolutely impressive.",Positive,Product Quality
delivery was pathetic.,Negative,Delivery
The website is awesome.,Positive,App/Website
delivery was bad.,Negative,Delivery
Logistics and shipping speed were broken.,Negative,Delivery
The price is hate.,Negative,Pricing
The build material is stellar!,Positive,Product Quality
"It is too expensive, unbearable value.",Negative,Pricing
"It is too expensive, inferior value!",Negative,Pricing
"This product is exactly what I expected, absolutely cheap.",Negative,Product Quality
quality is brilliant.,Positive,Product Quality
Delivery was wonderful!,Positive,Delivery
"They ignored my emails, undistinguished support.",Neutral,Customer Service
The website is splendid!,Positive,App/Website
"This product is exactly what I expected, absolutely average!",Neutral,Product Quality
"This product is exactly what I expected, absolutely superb.",Positive,Product Quality
The support team is breathtaking.,Positive,Customer Service
"they ignored my emails, superlative support.",Positive,Customer Service
Delivery was abysmal.,Negative,Delivery
The user interface is dreadful.,Negative,App/Website
Customer service was horrendous!,Negative,Customer Service
"App keeps crashing, garbage experience!",Negative,App/Website
"app keeps crashing, exceptional experience.",Positive,App/Website
"It is too expensive, trash value!",Negative,Pricing
"It is too expensive, run-of-the-mill value.",Neutral,Pricing
my experience with the agent was appalling.,Negative,Customer Service
"Support replied immediately, acceptable service.",Neutral,Customer Service
The build material is exquisite.,Positive,Product Quality
"It took forever to arrive, impressive shipping!",Positive,Delivery
The build material is ok!,Neutral,Product Quality
"Support replied immediately, inadequate service.",Negative,Customer Service
The package arrived loved!,Positive,Delivery
the website is average.,Neutral,App/Website
the support team is adequate.,Neutral,Customer Service
Customer service was unacceptable!,Negative,Customer Service
the package arrived exquisite.,Positive,Delivery
"It took forever to arrive, unacceptable shipping!",Negative,Delivery
"This product is exactly what I expected, absolutely poor!",Negative,Product Quality
Value for money is hated!,Negative,Pricing
"It is too expensive, adequate value.",Neutral,Pricing
"support replied immediately, abysmal service.",Negative,Customer Service
Quality is atrocious!,Negative,Product Quality
Value for money is fantastic!,Positive,Pricing
Shipping was perfect!,Positive,Delivery
pricing is absolutely top-notch.,Positive,Pricing
The website is atrocious.,Negative,App/Website
the support team is first-rate.,Positive,Customer Service
"honestly, the product feels run-of-the-mill.",Neutral,Product Quality
"They ignored my emails, poor support!",Negative,Customer Service
Logistics and shipping speed were unremarkable.,Neutral,Delivery
"app keeps crashing, stellar experience.",Positive,App/Website
"Honestly, the product feels terrible.",Negative,Product Quality
"It is too expensive, dreadful value!",Negative,Pricing
The build material is hate.,Negative,Product Quality
the price is disgusting.,Negative,Pricing
The product is top-notch!,Positive,Product Quality
Shipping was ok.,Neutral,Delivery
"honestly, the product feels love.",Positive,Product Quality
The product is hated!,Negative,Product Quality
the package arrived so-so.,Neutral,Delivery
"App keeps crashing, splendid experience!",Positive,App/Website
the build material is trash.,Negative,Product Quality
"they ignored my emails, amazing support.",Positive,Customer Service
My experience with the agent was exceptional!,Positive,Customer Service
My experience with the agent was fair!,Neutral,Customer Service
my experience with the agent was hated.,Negative,Customer Service
Customer service was superb.,Positive,Customer Service
"This product is exactly what I expected, absolutely exceptional.",Positive,Product Quality
customer service was fantastic.,Positive,Customer Service
the price is mediocre.,Neutral,Pricing
I found the item to be horrible!,Negative,Product Quality
the website is hated.,Negative,App/Website
Value for money is loved.,Positive,Pricing
"honestly, the product feels superb.",Positive,Product Quality
"Honestly, the product feels decent!",Neutral,Product Quality
The package arrived love.,Positive,Delivery
Pricing is absolutely amazing!,Positive,Pricing
"honestly, the product feels subpar.",Negative,Product Quality
The website is repulsive!,Negative,App/Website
Quality is flawless.,Positive,Product Quality
"Honestly, the product feels unparalleled.",Positive,Product Quality
Delivery was exquisite.,Positive,Delivery
the product is pathetic.,Negative,Product Quality
"Support replied immediately, horrible service.",Negative,Customer Service
Customer service was passable.,Neutral,Customer Service
Pricing is absolutely impressive.,Positive,Pricing
"Support replied immediately, awful service.",Negative,Customer Service
"it took forever to arrive, excellent shipping.",Positive,Delivery
I found the item to be breathtaking.,Positive,Product Quality
value for money is first-rate.,Positive,Pricing
Customer service was unparalleled!,Positive,Customer Service
i found the item to be broken.,Negative,Product Quality
"They ignored my emails, unremarkable support!",Neutral,Customer Service
"App keeps crashing, average experience!",Neutral,App/Website
"For the cost, this is middle-of-the-road.",Neutral,Pricing
"support replied immediately, decent service.",Neutral,Customer Service
The app is disgusting!,Negative,App/Website
the product is unbeatable.,Positive,Product Quality
The build material is useless!,Negative,Product Quality
Value for money is outstanding.,Positive,Pricing
I found the item to be ok!,Neutral,Product Quality
The app is mediocre.,Neutral,App/Website
My experience with the agent was stellar.,Positive,Customer Service
the app is garbage.,Negative,App/Website
logistics and shipping speed were splendid.,Positive,Delivery
the user interface is unparalleled.,Positive,App/Website
logistics and shipping speed were fine.,Neutral,Delivery
"App keeps crashing, inadequate experience!",Negative,App/Website
Quality is superlative!,Positive,Product Quality
Logistics and shipping speed were fine!,Neutral,Delivery
The app is average.,Neutral,App/Website
The product is horrible!,Negative,Product Quality
Delivery was unparalleled.,Positive,Delivery
the product is standard.,Neutral,Product Quality
The build material is outstanding!,Positive,Product Quality
The app is lousy!,Negative,App/Website
Shipping was horrible.,Negative,Delivery
the product is stellar.,Positive,Product Quality
"They ignored my emails, tolerable support.",Neutral,Customer Service
The website is fantastic.,Positive,App/Website
"Support replied immediately, deplorable service!",Negative,Customer Service
the support team is undistinguished.,Neutral,Customer Service
The package arrived exceptional.,Positive,Delivery
The app is loved!,Positive,App/Website
pricing is absolutely exquisite.,Positive,Pricing
Quality is ok!,Neutral,Product Quality
The website is vile!,Negative,App/Website
"Honestly, the product feels tolerable.",Neutral,Product Quality
Customer service was atrocious!,Negative,Customer Service
"This product is exactly what I expected, absolutely fine.",Neutral,Product Quality
The build material is superlative.,Positive,Product Quality
the app is lousy.,Negative,App/Website
The user interface is inadequate.,Negative,App/Website
i found the item to be unacceptable.,Negative,Product Quality
customer service was superlative.,Positive,Customer Service
"It is too expensive, repulsive value!",Negative,Pricing
"Support replied immediately, lousy service.",Negative,Customer Service
The app is dreadful.,Negative,App/Website
The support team is okay.,Neutral,Customer Service
The support team is broken!,Negative,Customer Service
Logistics and shipping speed were defective!,Negative,Delivery
customer service was unparalleled.,Positive,Customer Service
navigation is impressive.,Positive,App/Website
The app is revolting.,Negative,App/Website
The product is bad!,Negative,Product Quality
Logistics and shipping speed were terrible.,Negative,Delivery
i found the item to be abysmal.,Negative,Product Quality
"They ignored my emails, adequate support.",Neutral,Customer Service
Shipping was poor!,Negative,Delivery
navigation is hate.,Negative,App/Website
The package arrived amazing.,Positive,Delivery
my experience with the agent was run-of-the-mill.,Neutral,Customer Service
Customer service was fine.,Neutral,Customer Service
The support team is first-rate.,Positive,Customer Service
"They ignored my emails, disappointing support.",Negative,Customer Service
Customer service was ok!,Neutral,Customer Service
"Honestly, the product feels unbearable!",Negative,Product Quality
I found the item to be poor!,Negative,Product Quality
The package arrived excellent!,Positive,Delivery
Quality is loved!,Positive,Product Quality
Delivery was breathtaking.,Positive,Delivery
"App keeps crashing, top-notch experience.",Positive,App/Website
"App keeps crashing, broken experience.",Negative,App/Website
pricing is absolutely first-rate.,Positive,Pricing
Quality is immaculate!,Positive,Product Quality
The price is inadequate!,Negative,Pricing
"honestly, the product feels unparalleled.",Positive,Product Quality
"honestly, the product feels flawless.",Positive,Product Quality
navigation is loved.,Positive,App/Website
Value for money is ok!,Neutral,Pricing
"it is too expensive, amazing value.",Positive,Pricing
Value for money is lousy.,Negative,Pricing
The user interface is marvelous.,Positive,App/Website
"it is too expensive, appalling value.",Negative,Pricing
"It took forever to arrive, revolting shipping.",Negative,Delivery
value for money is poor.,Negative,Pricing
shipping was loved.,Positive,Delivery
"App keeps crashing, exquisite experience.",Positive,App/Website
logistics and shipping speed were awful.,Negative,Delivery
"App keeps crashing, unbeatable experience.",Positive,App/Website
My experience with the agent was standard.,Neutral,Customer Service
"It is too expensive, magnificent value!",Positive,Pricing
"for the cost, this is immaculate.",Positive,Pricing
Delivery was bland.,Neutral,Delivery
My experience with the agent was awesome!,Positive,Customer Service
The build material is vile.,Negative,Product Quality
the product is inferior.,Negative,Product Quality
shipping was brilliant.,Positive,Delivery
the build material is abysmal.,Negative,Product Quality
The price is loved.,Positive,Pricing
Delivery was exquisite!,Positive,Delivery
"it took forever to arrive, average shipping.",Neutral,Delivery
customer service was fair.,Neutral,Customer Service
