text,sentiment,aspect
The app is love.,Positive,App/Website
The app is trash!,Negative,App/Website
"It took forever to arrive, awesome shipping.",Positive,Delivery
"Support replied immediately, standard service.",Neutral,Customer Service
the build material is awesome.,Positive,Product Quality
I found the item to be decent!,Neutral,Product Quality
"It is too expensive, disappointing value.",Negative,Pricing
"Support replied immediately, hated service!",Negative,Customer Service
"app keeps crashing, broken experience.",Negative,App/Website
logistics and shipping speed were horrible.,Negative,Delivery
"It is too expensive, fantastic value.",Positive,Pricing
"it is too expensive, worst value.",Negative,Pricing
I found the item to be great.,Positive,Product Quality
The price is great!,Positive,Pricing
"It took forever to arrive, hated shipping!",Negative,Delivery
Logistics and shipping speed were loved!,Positive,Delivery
Navigation is terrible.,Negative,App/Website
Delivery was impressive.,Positive,Delivery
quality is stellar.,Positive,Product Quality
"Honestly, the product feels passable!",Neutral,Product Quality
The website is average!,Neutral,App/Website
the support team is trash.,Negative,Customer Service
The price is useless!,Negative,Pricing
Quality is wonderful!,Positive,Product Quality
"for the cost, this is fine.",Neutral,Pricing
My experience with the agent was horrible!,Negative,Customer Service
"Honestly, the product feels hated.",Negative,Product Quality
"honestly, the product feels phenomenal.",Positive,Product Quality
The build material is phenomenal.,Positive,Product Quality
the app is disappointing.,Negative,App/Website
quality is ok.,Neutral,Product Quality
i found the item to be flawless.,Positive,Product Quality
"For the cost, this is excellent.",Positive,Pricing
logistics and shipping speed were brilliant.,Positive,Delivery
the user interface is stellar.,Positive,App/Website
Logistics and shipping speed were love.,Positive,Delivery
"Honestly, the product feels mediocre.",Neutral,Product Quality
the price is awesome.,Positive,Pricing
The website is awful!,Negative,App/Website
delivery was hate.,Negative,Delivery
"Support replied immediately, poor service!",Negative,Customer Service
The build material is phenomenal!,Positive,Product Quality
the package arrived terrible.,Negative,Delivery
My experience with the agent was trash.,Negative,Customer Service
"It is too expensive, garbage value!",Negative,Pricing
Logistics and shipping speed were love!,Positive,Delivery
"It took forever to arrive, great shipping.",Positive,Delivery
"It is too expensive, love value!",Positive,Pricing
The user interface is standard.,Neutral,App/Website
navigation is useless.,Negative,App/Website
my experience with the agent was wonderful.,Positive,Customer Service
The user interface is ok.,Neutral,App/Website
The build material is loved!,Positive,Product Quality
The product is outstanding!,Positive,Product Quality
"app keeps crashing, poor experience.",Negative,App/Website
The price is outstanding.,Positive,Pricing
"It is too expensive, broken value.",Negative,Pricing
"They ignored my emails, decent support!",Neutral,Customer Service
Quality is terrible.,Negative,Product Quality
The website is hate.,Negative,App/Website
The support team is ok!,Neutral,Customer Service
the app is wonderful.,Positive,App/Website
Delivery was decent!,Neutral,Delivery
delivery was mediocre.,Neutral,Delivery
"Honestly, the product feels awesome!",Positive,Product Quality
The package arrived trash!,Negative,Delivery
The product is wonderful.,Positive,Product Quality
The build material is wonderful.,Positive,Product Quality
My experience with the agent was acceptable!,Neutral,Customer Service
The support team is dreadful!,Negative,Customer Service
"it is too expensive, passable value.",Neutral,Pricing
The app is wonderful!,Positive,App/Website
"App keeps crashing, unacceptable experience.",Negative,App/Website
quality is trash.,Negative,Product Quality
Value for money is unacceptable!,Negative,Pricing
The price is decent!,Neutral,Pricing
Customer service was dreadful.,Negative,Customer Service
"this product is exactly what i expected, absolutely impressive.",Positive,Product Quality
The user interface is broken.,Negative,App/Website
Navigation is superb!,Positive,App/Website
Delivery was passable!,Neutral,Delivery
"This product is exactly what I expected, absolutely passable.",Neutral,Product Quality
My experience with the agent was perfect.,Positive,Customer Service
shipping was hated.,Negative,Delivery
"they ignored my emails, cheap support.",Negative,Customer Service
the price is good.,Positive,Pricing
The product is passable!,Neutral,Product Quality
pricing is absolutely bad.,Negative,Pricing
customer service was horrible.,Negative,Customer Service
The package arrived passable.,Neutral,Delivery
"It took forever to arrive, fine shipping.",Neutral,Delivery
"This product is exactly what I expected, absolutely cheap.",Negative,Product Quality
The package arrived unacceptable.,Negative,Delivery
The website is outstanding.,Positive,App/Website
"app keeps crashing, cheap experience.",Negative,App/Website
"Support replied immediately, fair service.",Neutral,Customer Service
Navigation is love!,Positive,App/Website
The build material is broken.,Negative,Product Quality
The product is wonderful!,Positive,Product Quality
value for money is fantastic.,Positive,Pricing
The user interface is trash!,Negative,App/Website
Value for money is decent!,Neutral,Pricing
"this product is exactly what i expected, absolutely mediocre.",Neutral,Product Quality
Delivery was fantastic.,Positive,Delivery
Quality is awesome.,Positive,Product Quality
"It took forever to arrive, unacceptable shipping.",Negative,Delivery
the website is acceptable.,Neutral,App/Website
"it took forever to arrive, perfect shipping.",Positive,Delivery
"support replied immediately, hate service.",Negative,Customer Service
quality is acceptable.,Neutral,Product Quality
Shipping was ok.,Neutral,Delivery
shipping was dreadful.,Negative,Delivery
Quality is awful.,Negative,Product Quality
"This product is exactly what I expected, absolutely unacceptable.",Negative,Product Quality
"honestly, the product feels trash.",Negative,Product Quality
My experience with the agent was impressive!,Positive,Customer Service
"Support replied immediately, fine service!",Neutral,Customer Service
My experience with the agent was great.,Positive,Customer Service
i found the item to be great.,Positive,Product Quality
"it is too expensive, amazing value.",Positive,Pricing
The package arrived awesome.,Positive,Delivery
"This product is exactly what I expected, absolutely impressive!",Positive,Product Quality
"Honestly, the product feels standard!",Neutral,Product Quality
navigation is great.,Positive,App/Website
The product is perfect!,Positive,Product Quality
Pricing is absolutely fine.,Neutral,Pricing
the user interface is wonderful.,Positive,App/Website
Delivery was okay!,Neutral,Delivery
the website is mediocre.,Neutral,App/Website
my experience with the agent was awful.,Negative,Customer Service
The app is hate!,Negative,App/Website
the build material is wonderful.,Positive,Product Quality
The price is unacceptable!,Negative,Pricing
The website is okay!,Neutral,App/Website
"App keeps crashing, love experience.",Positive,App/Website
"this product is exactly what i expected, absolutely bad.",Negative,Product Quality
Customer service was decent.,Neutral,Customer Service
"Honestly, the product feels stellar.",Positive,Product Quality
The support team is love.,Positive,Customer Service
I found the item to be brilliant!,Positive,Product Quality
The build material is perfect!,Positive,Product Quality
The app is bad!,Negative,App/Website
I found the item to be awesome.,Positive,Product Quality
"They ignored my emails, love support!",Positive,Customer Service
Shipping was decent!,Neutral,Delivery
"Support replied immediately, love service!",Positive,Customer Service
"For the cost, this is excellent!",Positive,Pricing
"They ignored my emails, average support.",Neutral,Customer Service
The build material is trash.,Negative,Product Quality
The package arrived average.,Neutral,Delivery
"Honestly, the product feels outstanding.",Positive,Product Quality
the package arrived loved.,Positive,Delivery
"app keeps crashing, awful experience.",Negative,App/Website
The build material is okay.,Neutral,Product Quality
the package arrived brilliant.,Positive,Delivery
the app is good.,Positive,App/Website
"This product is exactly what I expected, absolutely worst!",Negative,Product Quality
quality is terrible.,Negative,Product Quality
The price is loved.,Positive,Pricing
"it is too expensive, terrible value.",Negative,Pricing
"For the cost, this is outstanding!",Positive,Pricing
